Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.06     0.00       29     0.00     0.00  bool std::operator==<unsigned char, std::allocator<unsigned char> >(std::vector<unsigned char, std::allocator<unsigned char> > const&, std::vector<unsigned char, std::allocator<unsigned char> > const&)
  0.00      0.06     0.00       29     0.00     0.00  bool std::operator!=<std::vector<unsigned char, std::allocator<unsigned char> > >(std::shared_ptr<std::vector<unsigned char, std::allocator<unsigned char> > > const&, decltype(nullptr))
  0.00      0.06     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > >::~new_allocator()
  0.00      0.06     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const*, std::vector<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >, std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > > > >::__normal_iterator(std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > const* const&)
  0.00      0.06     0.00       24     0.00     0.00  std::allocator<std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > > >::~allocator()
  0.00      0.06     0.00       24     0.00     0.00  TestInfo const& std::forward<TestInfo const&>(std::remove_reference<TestInfo const&>::type&)
  0.00      0.06     0.00       23     0.00     0.00  std::__shared_ptr_access<std::vector<unsigned char, std::allocator<unsigned char> >, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.06     0.00       23     0.00     0.00  std::__shared_ptr_access<std::vector<unsigned char, std::allocator<unsigned char> >, (__gnu_cxx::_Lock_policy)2, false, false>::operator*() const
  0.00      0.06     0.00       23     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl(std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl&&)
  0.00      0.06     0.00       23     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data&&)
  0.00      0.06     0.00       23     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(std::_Vector_base<unsigned char, std::allocator<unsigned char> >&&)
  0.00      0.06     0.00       23     0.00     0.00  std::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> > >::pair<std::pair<int, int>, std::vector<unsigned char, std::allocator<unsigned char> >, true>(std::pair<int, int>&&, std::vector<unsigned char, std::allocator<unsigned char> >&&)
  0.00      0.06     0.00       23     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int&&, int&&)
  0.00      0.06     0.00       23     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_check_init_len(unsigned long, std::allocator<unsigned char> const&)
  0.00      0.06     0.00       23     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> >&&)
